261 2043.468130 8.267E-25 5.129E-03.07040.126 1060.06180.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 19f     366643 6 7 2 1 1 1    37.0   39.0
261 2043.848870 2.482E-24 5.085E-03.07040.126 1058.07970.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 19e     366643 6 7 2 1 1 1   111.0  117.0
261 2046.025710 2.917E-24 5.141E-03.07190.129 1015.24680.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 18f     366643 6 7 2 1 1 1   105.0  111.0
261 2046.376870 9.728E-25 5.101E-03.07190.129 1013.46240.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 18e     366643 6 7 2 1 1 1    35.0   37.0
261 2048.572740 1.127E-24 5.154E-03.07330.132  972.78600.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 17f     366643 6 7 2 1 1 1    33.0   35.0
261 2048.895370 3.382E-24 5.118E-03.07330.132  971.18900.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 17e     366643 6 7 2 1 1 1    99.0  105.0
261 2051.109180 3.862E-24 5.170E-03.07460.135  932.68020.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 16f     366643 6 7 2 1 1 1    93.0   99.0
261 2051.404330 1.287E-24 5.135E-03.07460.135  931.26030.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 16e     366643 6 7 2 1 1 1    31.0   33.0
261 2053.634970 1.448E-24 5.187E-03.07560.138  894.92990.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 15f     366643 6 7 2 1 1 1    29.0   31.0
261 2053.903710 4.339E-24 5.151E-03.07560.138  893.67680.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 15e     366643 6 7 2 1 1 1    87.0   93.0
261 2056.150080 4.806E-24 5.202E-03.07680.141  859.53600.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 14f     366643 6 7 2 1 1 1    81.0   87.0
261 2056.393460 1.600E-24 5.170E-03.07680.141  858.43930.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 14e     366643 6 7 2 1 1 1    27.0   29.0
261 2058.654460 1.743E-24 5.219E-03.07770.144  826.49890.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 13f     366643 6 7 2 1 1 1    25.0   27.0
261 2058.873540 5.222E-24 5.189E-03.07770.144  825.54820.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 13e     366643 6 7 2 1 1 1    75.0   81.0
261 2061.148060 5.592E-24 5.239E-03.07870.147  795.81930.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 12f     366643 6 7 2 1 1 1    69.0   75.0
261 2061.343920 1.861E-24 5.211E-03.07870.147  795.00420.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 12e     366643 6 7 2 1 1 1    23.0   25.0
